fec.gov
title,Two Year Summary
description,2014 Itemized Individual Contributions
timestamp,Tue Feb 28 16:48:11 GMT 2017
copyright,"Copyright 2012, Federal Election Commission."
cmte_id,C00497842
cmte_nm,STRATEGY PAC
"Contributor Name","Employer","Occupation","Description","City","State","Zip","Receipt Date","Amount","Memo Code","Report Type","Report Year","Image Number","Transaction Code","Other Id","Candidate Id","Transaction PGI",
"ENGLISH, PATRICK J. MR.","FIDUCIARY MANAGEMENT INC","INVESTMENTS","CONTRIBUTION","MILWAUKEE","WI","53213","02/28/2013","$5,000.00","","MY","2013","http://docquery.fec.gov/cgi-bin/fecimg/?13943124561","15","","","P",
"ENGLISH, RACHEL A.","SELF","PHYSICIAN","CONTRIBUTION/REATTRIBUTION / REDESIGNATION REQUESTED (AUTOMATIC) REATTRIBUTION FROM SPOUSE","MILWAUKEE","WI","53213","06/25/2014","$5,000.00","X","Q2","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978269207","15","","","P",
"ENGLISH, RACHEL A.","SELF","PHYSICIAN","CONTRIBUTION","MILWAUKEE","WI","53213","02/28/2013","$5,000.00","","MY","2013","http://docquery.fec.gov/cgi-bin/fecimg/?13943124561","15","","","P",
"GANTHER, BEN MR.","GANTHER CONSTRUCTION","DESIGN/BUILDER","CONTRIBUTION","OSHKOSH","WI","54901","02/24/2013","$5,000.00","","MY","2013","http://docquery.fec.gov/cgi-bin/fecimg/?13943124562","15","","","P",
"GENTINE, LOUIS MR.","SARGENTO FOODS INC.","EXECUTIVE","CONTRIBUTION","ELKHART LAKE","WI","53020","09/07/2013","$2,500.00","","YE","2013","http://docquery.fec.gov/cgi-bin/fecimg/?14940156611","15","","","P",
"HENDRICKS, DIANE MRS.","ABC SUPPLY CO.","EXECUTIVE","CONTRIBUTION","JANESVILLE","WI","53545","12/15/2013","$5,000.00","","YE","2013","http://docquery.fec.gov/cgi-bin/fecimg/?14940156611","15","","","P",
"HENDRICKS, DIANE MRS.","ABC SUPPLY CO.","EXECUTIVE","CONTRIBUTION","JANESVILLE","WI","53545","08/10/2014","$5,000.00","","Q3","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978173149","15","","","P",
"KELLNER, MARY MRS.","SELF","PHILANTHROPIST","CONTRIBUTION","MEQUON","WI","53092","08/10/2014","$5,000.00","","Q3","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978173149","15","","","P",
"KELLNER, MARY MRS.","SELF","PHILANTHROPIST","CONTRIBUTION","MEQUON","WI","53092","02/28/2013","$5,000.00","","MY","2013","http://docquery.fec.gov/cgi-bin/fecimg/?13943124562","15","","","P",
"KELLNER, TED MR.","FIDUCIARY MANAGEMENT INC.","ANALYST","CONTRIBUTION","THIENSVILLE","WI","53092","08/10/2014","$5,000.00","","Q3","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978173149","15","","","P",
"KELLNER, TED MR.","FIDUCIARY MANAGEMENT INC.","ANALYST","CONTRIBUTION","THIENSVILLE","WI","53092","02/28/2013","$5,000.00","","MY","2013","http://docquery.fec.gov/cgi-bin/fecimg/?13943124562","15","","","P",
"LYNCH, BARBARA MRS.","RETIRED","RETIRED","CONTRIBUTION","MILWAUKEE","WI","53211","06/27/2014","$5,000.00","","Q2","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978269207","15","","","P",
"LYNCH, DONALD R. MR.","RETIRED","RETIRED","CONTRIBUTION","MILWAUKEE","WI","53211","06/27/2014","$5,000.00","","Q2","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978269208","15","","","P",
"MCKEITHAN, DANIEL F. MR. JR.","TAMARACK PETROLEUM COMAPNY","CHAIRMAN & CEO","CONTRIBUTION","MILWAUKEE","WI","53202","02/25/2014","$4,200.00","","Q1","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14960853622","15","","","P",
"MCKEITHAN, DANIEL F. MR. JR.","TAMARACK PETROLEUM COMPANY","CHAIRMAN & CEO","CONTRIBUTION","MILWAUKEE","WI","53202","10/03/2014","$800.00","","30G","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14953206570","15","","","P",
"NICHOLAS, ALBERT O. MR.","NICHOLAS COMPANY INC","INVESTMENTS","CONTRIBUTION","HARTLAND","WI","53029","06/16/2014","$5,000.00","","Q2","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978269205","15","","","P",
"NICHOLAS, NANCY MRS.","NICHOLAS COMPANY INC","OWNER","CONTRIBUTION","HARTLAND","WI","53029","06/16/2014","$5,000.00","","Q2","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978269205","15","","","P",
"SCHUEMANN, MARGARET S. MRS.","NONE","HOMEMAKER","CONTRIBUTION","MILWAUKEE","WI","53217","08/20/2013","$5,000.00","","YE","2013","http://docquery.fec.gov/cgi-bin/fecimg/?14940156612","15","","","P",
"SCHUEMANN, MARGARET S. MRS.","NONE","HOMEMAKER","CONTRIBUTION","MILWAUKEE","WI","53217","06/24/2014","$5,000.00","","Q2","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978269206","15","","","P",
"SCHUEMANN, ROBERT J. MR.","RETIRED","RETIRED","CONTRIBUTION","RIVER HILLS","WI","53217","08/20/2013","$5,000.00","","YE","2013","http://docquery.fec.gov/cgi-bin/fecimg/?14940156612","15","","","P",
"SCHUEMANN, ROBERT J. MR.","RETIRED","RETIRED","CONTRIBUTION","RIVER HILLS","WI","53217","06/25/2014","$5,000.00","","Q2","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978269207","15","","","P",
"SCHUETTE, CONNIE MS.","HOMEMAKER","HOMEMAKER","CONTRIBUTION","WAUSAU","WI","54401","08/17/2013","$5,000.00","","YE","2013","http://docquery.fec.gov/cgi-bin/fecimg/?14940156611","15","","","P",
"SCHUETTE, RUTH MS.","HOMEMAKER","HOMEMAKER","CONTRIBUTION","WAUSAU","WI","54401","03/31/2014","$5,000.00","","Q1","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14960853622","15","","","P",
"SCHUETTE, THOMAS MR.","WAUSAU HOMES","PRESIDENT","CONTRIBUTION","WAUSAU","WI","54401","08/17/2013","$5,000.00","","YE","2013","http://docquery.fec.gov/cgi-bin/fecimg/?14940156612","15","","","P",
"SCHUETTE, THOMAS MR.","WAUSAU HOMES","PRESIDENT","CONTRIBUTION","WAUSAU","WI","54401","03/31/2014","$5,000.00","","Q1","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14960853622","15","","","P",
"WILKEY, RICHARD L.","FISHER BARTON INC","CEO","CONTRIBUTION/SEE REATTRIBUTION","HARTLAND","WI","53029","06/27/2014","$10,000.00","","Q2","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978269208","15","","","P",
"WILKEY, RICHARD L.","FISHER BARTON INC","CEO","CONTRIBUTION/REATTRIBUTION TO SPOUSE","HARTLAND","WI","53029","06/27/2014","($5,000.00)","X","Q2","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978269208","15","","","P",
"WILKEY, RICHARD L.","FISHER BARTON INC","CEO","CONTRIBUTION","HARTLAND","WI","53029","02/14/2013","$5,000.00","","MY","2013","http://docquery.fec.gov/cgi-bin/fecimg/?13943124563","15","","","P",
"WILKEY, SUSAN L.","HOMEMAKER","HOMEMAKER","CONTRIBUTION/REATTRIBUTION / REDESIGNATION REQUESTED (AUTOMATIC) REATTRIBUTION FROM SPOUSE","HARTLAND","WI","53029","06/27/2014","$5,000.00","X","Q2","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978269209","15","","","P",
"WILKEY, SUSAN L.","HOMEMAKER","HOMEMAKER","CONTRIBUTION","HARTLAND","WI","53029","02/14/2013","$5,000.00","","MY","2013","http://docquery.fec.gov/cgi-bin/fecimg/?13943124563","15","","","P",
